Date,Open,High,Low,Close,Adj Close,Volume
2019-07-01,88.000000,88.279999,87.510002,87.910004,77.327446,986500
2019-07-02,87.849998,88.089996,87.540001,88.089996,77.485779,1146600
2019-07-03,88.239998,88.760002,88.239998,88.750000,78.066322,471200
2019-07-05,88.430000,88.660004,88.029999,88.580002,77.916794,502700
2019-07-08,88.309998,88.480003,88.000000,88.150002,77.538551,564600
2019-07-09,87.849998,88.139999,87.830002,88.080002,77.476974,600200
2019-07-10,88.400002,88.629997,88.190002,88.339996,77.705681,547600
2019-07-11,88.410004,88.440002,87.900002,88.339996,77.705681,742000
2019-07-12,88.519997,88.720001,88.370003,88.720001,78.039932,661900
2019-07-15,88.820000,88.820000,88.610001,88.779999,78.092712,729000
2019-07-16,88.730003,88.760002,88.440002,88.489998,77.837624,619400
2019-07-17,88.550003,88.580002,87.959999,87.980003,77.389015,521800
2019-07-18,87.930000,88.570000,87.830002,88.459999,77.811234,740900
2019-07-19,88.669998,88.669998,88.029999,88.089996,77.485779,600800
2019-07-22,88.150002,88.169998,87.750000,87.989998,77.397804,496200
2019-07-23,88.300003,88.639999,88.139999,88.599998,77.934380,831800
2019-07-24,88.570000,89.120003,88.510002,89.120003,78.391785,558900
2019-07-25,89.059998,89.120003,88.550003,88.800003,78.110291,518200
2019-07-26,88.900002,89.269997,88.730003,89.220001,78.479744,423000
2019-07-29,89.190002,89.349998,89.089996,89.209999,78.470955,562100
2019-07-30,88.889999,89.000000,88.699997,88.959999,78.251045,1143500
2019-07-31,88.849998,88.910004,87.419998,88.010002,77.415413,883300
2019-08-01,88.029999,88.730003,86.930000,87.050003,76.570969,1084500
2019-08-02,86.930000,87.059998,86.250000,86.639999,76.210327,1294200
2019-08-05,85.709999,85.889999,83.830002,84.510002,74.336723,2188900
2019-08-06,84.860001,85.360001,84.209999,85.290001,75.022842,1525500
2019-08-07,84.470001,85.470001,83.580002,85.209999,74.952454,1212100
2019-08-08,85.589996,86.610001,85.449997,86.589996,76.166336,1125300
2019-08-09,86.370003,86.559998,85.550003,86.139999,75.770500,855200
2019-08-12,85.750000,85.849998,84.919998,85.250000,74.987656,738600
2019-08-13,85.160004,86.800003,85.059998,86.269997,75.884857,1196600
2019-08-14,85.129997,85.209999,83.830002,83.900002,73.800171,1312900
2019-08-15,84.139999,84.300003,83.320000,83.930000,73.826553,1027100
2019-08-16,84.430000,85.349998,84.430000,85.239998,74.978859,748300
2019-08-19,86.099998,86.440002,85.970001,86.220001,75.840889,833500
2019-08-20,86.099998,86.120003,85.410004,85.459999,75.172371,706100
2019-08-21,86.070000,86.220001,85.860001,86.089996,75.726532,851500
2019-08-22,86.290001,86.529999,85.709999,86.169998,75.796913,649500
2019-08-23,85.790001,86.110001,83.620003,84.070000,73.949692,1269000
2019-08-26,84.680000,84.889999,84.269997,84.839996,74.627007,927700
2019-08-27,85.290001,85.480003,84.349998,84.500000,74.327927,799800
2019-08-28,84.360001,85.230003,84.250000,85.220001,74.961266,688600
2019-08-29,85.910004,86.160004,85.519997,86.029999,75.673759,804400
2019-08-30,86.459999,86.589996,85.949997,86.160004,75.788101,613400
2019-09-03,85.680000,85.970001,85.209999,85.940002,75.594589,969800
2019-09-04,86.580002,86.870003,86.389999,86.820000,76.368652,687400
2019-09-05,87.540001,88.180000,87.500000,87.750000,77.186699,795300
2019-09-06,87.900002,88.070000,87.709999,87.919998,77.336235,792300
2019-09-09,88.300003,88.449997,88.089996,88.440002,77.793633,948000
2019-09-10,88.230003,88.900002,88.199997,88.900002,78.198257,810500
