Date,Open,High,Low,Close,Adj Close,Volume
2019-07-01,2005.500000,2005.500000,2005.500000,2007.000000,2007.000000,3200
2019-07-02,2021.750000,2021.750000,2021.750000,2021.750000,2021.750000,0
2019-07-03,2030.750000,2030.750000,2030.750000,2030.750000,2030.750000,0
2019-07-04,2028.250000,2028.250000,2028.250000,2028.250000,2028.250000,0
2019-07-05,2022.750000,2022.750000,2022.750000,2022.750000,2022.750000,0
2019-07-08,2029.000000,2029.000000,2029.000000,2029.000000,2029.000000,0
2019-07-09,2035.500000,2035.500000,2035.500000,2035.500000,2035.500000,0
2019-07-10,2030.500000,2030.500000,2030.500000,2030.500000,2030.500000,0
2019-07-11,2015.500000,2015.500000,2015.500000,2015.500000,2015.500000,0
2019-07-12,2013.250000,2013.250000,2013.250000,2013.250000,2013.250000,0
2019-07-15,2027.250000,2027.250000,2027.250000,2027.250000,2027.250000,0
2019-07-16,2037.000000,2037.000000,2037.000000,2037.000000,2037.000000,0
2019-07-17,2043.000000,2043.000000,2043.000000,2044.250000,2044.250000,48
2019-07-18,2041.000000,2041.000000,2041.000000,2035.000000,2035.000000,488
2019-07-19,2038.000000,2038.000000,2038.000000,2038.000000,2038.000000,0
2019-07-22,2041.000000,2041.000000,2041.000000,2041.000000,2041.000000,0
2019-07-23,2044.250000,2044.250000,2044.250000,2044.250000,2044.250000,0
2019-07-24,2046.000000,2046.000000,2046.000000,2039.250000,2039.250000,300
2019-07-25,2039.000000,2039.000000,2039.000000,2031.250000,2031.250000,364
2019-07-26,2043.500000,2043.500000,2043.500000,2046.500000,2046.500000,104
2019-07-29,2061.000000,2071.000000,2060.577881,2066.750000,2066.750000,13290
2019-07-30,2079.000000,2079.000000,2076.923096,2075.500000,2075.500000,1174
2019-07-31,2081.250000,2081.250000,2081.250000,2081.250000,2081.250000,0
2019-08-01,2090.000000,2090.562012,2090.000000,2091.500000,2091.500000,752
2019-08-02,2101.500000,2101.500000,2101.500000,2101.500000,2101.500000,0
2019-08-05,2107.500000,2107.500000,2107.500000,2107.500000,2107.500000,0
2019-08-06,2112.750000,2112.750000,2112.750000,2112.750000,2112.750000,0
2019-08-07,2123.250000,2123.250000,2123.250000,2123.250000,2123.250000,0
2019-08-08,2112.000000,2112.000000,2112.000000,2112.750000,2112.750000,1
2019-08-09,2123.750000,2123.750000,2123.750000,2123.750000,2123.750000,0
2019-08-12,2124.906982,2124.906982,2124.906982,2127.750000,2127.750000,1552
2019-08-13,2130.750000,2130.750000,2130.750000,2130.750000,2130.750000,0
2019-08-14,2141.000000,2141.000000,2141.000000,2141.000000,2141.000000,0
2019-08-15,2148.750000,2148.750000,2148.750000,2148.750000,2148.750000,0
2019-08-16,2140.500000,2140.500000,2140.500000,2140.500000,2140.500000,0
2019-08-19,2135.250000,2135.250000,2135.250000,2135.250000,2135.250000,0
2019-08-20,2139.250000,2139.250000,2139.250000,2139.250000,2139.250000,0
2019-08-21,2144.000000,2144.000000,2143.937988,2144.750000,2144.750000,46
2019-08-22,2143.500000,2143.577881,2143.500000,2124.000000,2124.000000,1202
2019-08-23,2124.250000,2124.250000,2124.250000,2124.250000,2124.250000,0
2019-08-27,2134.000000,2134.000000,2134.000000,2134.000000,2134.000000,0
2019-08-28,2153.500000,2155.000000,2152.923096,2148.000000,2148.000000,2240
2019-08-29,2153.250000,2153.250000,2153.250000,2153.250000,2153.250000,0
2019-08-30,2154.500000,2154.500000,2154.500000,2139.250000,2139.250000,47306
2019-09-02,2151.000000,2152.251953,2151.000000,2161.500000,2161.500000,800
2019-09-03,2161.500000,2161.500000,2161.500000,2161.500000,2161.500000,0
2019-09-04,2129.250000,2129.250000,2129.250000,2129.250000,2129.250000,0
2019-09-05,2107.000000,2107.000000,2104.565918,2085.750000,2085.750000,1120
2019-09-06,2091.000000,2091.077881,2091.000000,2106.250000,2106.250000,104
2019-09-09,2090.000000,2090.000000,2089.423096,2088.750000,2088.750000,956
2019-09-10,2088.750000,2088.750000,2088.750000,2088.750000,2088.750000,0
2019-09-11,2091.250000,2091.250000,2091.250000,2091.250000,2091.250000,0
2019-09-12,2091.250000,2091.250000,2091.250000,2091.250000,2091.250000,0
2019-09-13,2055.750000,2055.750000,2055.750000,2055.750000,2055.750000,0
2019-09-16,2059.500000,2066.209961,2059.500000,2074.250000,2074.250000,621
2019-09-17,2065.750000,2065.750000,2065.750000,2065.750000,2065.750000,0
2019-09-18,2073.000000,2075.500000,2073.000000,2073.250000,2073.250000,1214
2019-09-19,2070.500000,2070.500000,2070.500000,2070.500000,2070.500000,0
2019-09-20,2068.500000,2068.500000,2068.500000,2068.500000,2068.500000,0
2019-09-23,2093.250000,2093.250000,2093.250000,2093.250000,2093.250000,0
2019-09-24,2095.500000,2095.500000,2095.500000,2095.500000,2095.500000,0
2019-09-25,2100.750000,2100.750000,2100.750000,2100.750000,2100.750000,0
2019-09-26,2105.000000,2105.103027,2105.000000,2102.000000,2102.000000,38
2019-09-27,2112.500000,2112.500000,2112.077881,2106.500000,2106.500000,800
2019-09-30,2099.500000,2099.500000,2099.500000,2099.500000,2099.500000,0
2019-10-01,2105.750000,2105.750000,2105.750000,2105.750000,2105.750000,0
2019-10-02,2103.500000,2103.500000,2103.500000,2103.500000,2103.500000,0
2019-10-03,2097.000000,2097.000000,2097.000000,2097.000000,2097.000000,0
2019-10-04,2115.250000,2115.250000,2115.250000,2115.250000,2115.250000,0
2019-10-07,2117.281982,2117.281982,2117.281982,2110.000000,2110.000000,289
2019-10-08,2110.500000,2112.000000,2110.500000,2123.500000,2123.500000,1524
2019-10-09,2113.500000,2113.500000,2113.500000,2112.750000,2112.750000,12500
2019-10-10,2084.500000,2084.500000,2084.500000,2084.500000,2084.500000,0
2019-10-11,2027.078003,2027.078003,2027.078003,2024.750000,2024.750000,1131
2019-10-14,2042.801025,2042.801025,2027.079956,2043.250000,2043.250000,1964
2019-10-15,2018.500000,2018.500000,2018.500000,2018.500000,2018.500000,0
2019-10-16,2025.000000,2027.897949,2025.000000,2008.750000,2008.750000,48
2019-10-17,1986.500000,1995.836060,1986.500000,2002.750000,2002.750000,6912
2019-10-18,2002.750000,2002.750000,2002.750000,2002.750000,2002.750000,0
2019-10-21,1977.250000,1977.250000,1977.250000,1977.250000,1977.250000,0
2019-10-22,1986.750000,1986.750000,1986.750000,1986.750000,1986.750000,0
2019-10-23,2001.500000,2001.500000,2001.500000,2001.500000,2001.500000,0
2019-10-24,2012.250000,2012.250000,2012.250000,2012.250000,2012.250000,0
2019-10-25,2005.250000,2005.250000,2005.250000,2005.250000,2005.250000,0
2019-10-28,1987.250000,1987.250000,1987.250000,1987.250000,1987.250000,0
2019-10-29,1976.250000,1976.250000,1976.250000,1976.250000,1976.250000,0
2019-10-30,1984.750000,1984.750000,1984.750000,1984.750000,1984.750000,0
2019-10-31,1991.000000,1991.000000,1991.000000,2000.500000,2000.500000,60
2019-11-01,1994.500000,1994.500000,1994.500000,1994.500000,1994.500000,0
2019-11-04,1994.500000,1994.500000,1991.500000,1992.000000,1992.000000,530
2019-11-05,1986.750000,1986.750000,1986.750000,1986.750000,1986.750000,0
2019-11-06,1990.500000,1990.500000,1990.500000,1990.500000,1990.500000,0
2019-11-07,1986.000000,1986.000000,1986.000000,1986.000000,1986.000000,0
2019-11-08,1988.500000,1988.500000,1988.500000,1988.500000,1988.500000,0
2019-11-11,1979.250000,1979.250000,1979.250000,1979.250000,1979.250000,0
2019-11-12,1979.750000,1979.750000,1979.750000,1979.750000,1979.750000,0
2019-11-13,1985.000000,1985.000000,1985.000000,1985.000000,1985.000000,0
2019-11-14,1987.250000,1987.250000,1987.250000,1987.250000,1987.250000,0
2019-11-15,1978.500000,1978.500000,1978.500000,1978.500000,1978.500000,0
